r_mu_pct,opc_2030
2.122348,355.390320
2.135845,352.340863
2.145845,351.123414
2.150083,349.373639
2.162894,346.771875
2.172032,344.919602
2.180548,343.245859
2.191821,341.422262
2.195884,339.366665
2.208321,337.578580
2.218741,334.736424
2.222736,333.276073
2.242305,330.749020
2.251828,328.602429
2.264545,326.826425
2.269703,325.446791
2.279729,322.538475
2.289328,320.621512
2.299902,319.020343
2.306235,317.364484
2.318290,315.547905
2.327362,313.318411
2.338302,311.551287
2.345402,309.676663
2.355832,308.005344
2.366995,305.998558
2.376260,303.769348
2.386535,302.263400
2.396698,300.472193
2.406196,298.779675
2.415999,296.973167
2.425983,295.044298
2.434981,293.512827
2.444404,291.691458
2.453945,289.994062
2.462921,288.376162
2.473358,286.872971
2.481313,284.903535
2.492151,282.905446
2.502847,281.445549
2.511039,279.624387
2.520746,278.042116
2.530036,276.507412
2.540546,274.172107
2.549377,273.264417
2.558375,271.499308
2.568836,269.832034
2.577445,268.406299
2.587156,266.698603
2.596122,265.118154
2.605581,263.597648
2.615328,261.858139
2.623985,260.418958
2.633597,258.944871
2.643238,257.364802
2.652936,255.770776
2.661007,254.250578
2.671941,252.755588
2.681403,251.259869
2.689879,249.854198
2.698975,248.381276
2.708696,246.898437
2.717355,245.420047
2.726892,243.998884
2.736677,242.579517
2.745710,241.127835
2.754975,239.634815
2.764276,238.280824
2.773326,236.846664
2.782460,235.478533
2.792064,234.091744
2.800946,232.716678
2.810355,231.371760
2.819380,230.023448
2.828332,228.645945
2.837469,227.340404
2.846931,226.007204
2.855899,224.693431
2.864926,223.390270
2.874517,222.029375
2.883406,220.755348
2.892247,219.452959
2.901594,218.168120
2.910802,216.890782
2.919684,215.638159
2.928712,214.383317
2.937659,213.117017
2.946874,211.881462
2.955832,210.670104
2.964924,209.428556
2.974082,208.200593
2.982952,207.013684
2.991972,205.793868
3.001089,204.597609
3.009962,203.431976
3.019222,202.236208
3.028270,201.067857
3.036990,199.906173
3.045937,198.749251
3.055001,197.603423
3.063808,196.467135
3.072990,195.312557
3.081776,194.211988
3.090623,193.102896
3.099561,191.973263
3.108365,190.878772
3.117331,189.781793
3.126281,188.698725
3.135167,187.603270
3.144013,186.545272
3.152899,185.456073
3.161725,184.411396
3.170633,183.346740
3.179592,182.292702
3.188396,181.258664
3.197203,180.238796
3.206105,179.195929
3.214743,178.185319
3.223640,177.169989
3.232405,176.167852
3.241279,175.171948
3.250081,174.174721
3.258805,173.182599
3.267536,172.203621
3.276388,171.234107
3.285112,170.260485
3.293891,169.302230
3.302642,168.344543
3.311395,167.391492
3.320042,166.453622
3.328856,165.518387
3.337541,164.574885
3.346249,163.663548
3.354996,162.740437
3.363683,161.827875
3.372255,160.923961
3.381145,160.021394
3.389740,159.124772
3.398397,158.245882
3.407106,157.352870
3.415746,156.480279
3.423466,155.611404
3.433083,154.743925
3.441692,153.884648
3.449013,153.027618
3.457459,152.183051
3.465903,151.347468
3.474466,150.503591
3.482810,149.672538
3.491249,148.847441
3.499735,148.023377
3.508150,147.217881
3.516567,146.404125
3.525044,145.594007
3.533344,144.790854
3.541832,144.005513
3.550276,143.206366
3.558663,142.431850
3.566987,141.656760
3.575435,140.875633
3.583755,140.113440
3.592111,139.350413
3.600537,138.587663
3.608806,137.835105
3.617164,137.089438
3.625576,136.342477
3.633887,135.608394
3.642262,134.868410
3.650552,134.142009
3.655965,133.670978
3.658816,133.421482
3.665010,132.889082
3.667204,132.698533
