sweep,cell,beta,tau,eta,rho,mac,dt,converged,chosen_from,was_dup,d_score,alt_mac,alt_dt,r_mu_pct
mc/mc_infill_lt1_beta0_5,mc_infill_lt1_beta0_5_gid-222_20260714_173704,0.5,0.998,1.670887,-0.028897,773.050707163,0.542782355632,True,mc/mc_infill_lt1_beta0_5,False,,,,1.86090584653
mc/mc_low_rmu_s_beta0_5,mc_low_rmu_s_beta0_5_gid-33_20260711_042823,0.5,0.998,1.671181,-0.003382,363.01251546,1.3590478766,True,mc/mc_low_rmu_s_beta0_5,False,,,,3.82388331543
mc/mc_infill_2_3,mc_infill_2_3_gid-72_20260715_041025,0.5,0.998,1.671978,-0.01467,498.015545312,1.04847019167,True,mc/mc_infill_2_3,True,0.172602,498.015545,1.04847,2.9695574148
mc/mc_infill_1_2,mc_infill_1_2_gid-588_20260714_175539,0.5,0.998,1.672632,-0.029726,790.338770551,0.508325819634,True,mc/mc_infill_1_2,False,,,,1.81046407129
mc/mc_beta0.5_s,mc_beta0.5_s_gid-1176_20260710_053709,0.5,0.998,1.673796,0.005661,290.928779283,1.56460550604,True,mc/mc_beta0.5_s,False,,,,4.52151053781
mc/mc_beta0.5_s,mc_beta0.5_s_gid-795_20260710_101347,0.5,0.998,1.676991,0.01351,246.944342877,1.71459525465,True,mc/mc_beta0.5_s,False,,,,5.12149449531
mc/mc_low_rmu_s_beta0_5,mc_low_rmu_s_beta0_5_gid-342_20260711_043336,0.5,0.998,1.677699,0.006686,284.009478254,1.58639259272,True,mc/mc_low_rmu_s_beta0_5,False,,,,4.60675644516
mc/mc_infill_2_3,mc_infill_2_3_gid-78_20260715_040906,0.5,0.998,1.680828,-0.006165,389.091866463,1.29178881431,True,mc/mc_infill_2_3,True,0.186194,389.091866,1.291789,3.6349542947
mc/mc_beta0.5_s,mc_beta0.5_s_gid-210_20260710_095717,0.5,0.998,1.682218,0.005081,293.846571691,1.55442653889,True,mc/mc_beta0.5_s,False,,,,4.49539290216
mc/mc_infill_3_4,mc_infill_3_4_gid-192_20260714_175137,0.5,0.998,1.682374,-0.000734,337.488490001,1.42605433033,True,mc/mc_infill_3_4,False,,,,4.06038105507
