income_threshold,population_below,population_fraction,income_below,income_fraction,country,decile
1873.9978202972643,2272995252.7969947,0.2944513344943182,2488940204304.513,0.027730247733191035,"Yemen, Rep.",7
1887.508615143603,2278184746.596995,0.29512359871171145,2498735418560.2476,0.027839380012641315,Myanmar,9
1893.796878921998,2278302936.896995,0.29513890947468663,2498959246981.5063,0.027841873771856783,Timor-Leste,9
1895.3887584633712,2421578748.368994,0.3136993327033639,2770522609405.2505,0.03086746647281644,India,6
1899.67699190463,2421788134.068994,0.3137264572205459,2770920374601.974,0.0308718981290795,Guinea-Bissau,10
1900.1070540264318,2421800584.974994,0.31372807015215354,2770944032656.294,0.030872161712634474,Kiribati,7
1906.002423680317,2425682916.7749944,0.31423100027400624,2778343766476.625,0.030954605015869552,Sudan,9
1906.3446949957524,2427863216.7749944,0.3145134435583941,2782500169815.124,0.031000913116826057,Sri Lanka,2
1937.7229536267087,2431011266.3839946,0.3149212523328664,2788600217801.6387,0.03106887611632193,Angola,6
1941.6285342810124,2435479267.7839947,0.3155000520347723,2797275416811.0864,0.031165529871703707,Ukraine,5
1948.2665984599978,2445447333.2839947,0.31679134825951805,2816695865875.998,0.03138190062369222,Viet Nam,3
1949.610455359377,2446286518.2839947,0.3169000590642738,2818331949725.979,0.03140012886814494,Azerbaijan,4
1954.1724633241251,2447003925.6059947,0.3169929943852249,2819733887359.6187,0.03141574839882714,Lao PDR,6
1956.660091587134,2447371310.6059947,0.317040586655112,2820452734927.366,0.031423757358263596,Georgia,1
1977.127738376104,2447462801.465995,0.3170524386841859,2820633624044.48,0.0314257727140448,Fiji,1
1992.465642114207,2447917517.6459947,0.3171113441244205,2821539630410.0435,0.031435866882205794,Mauritania,8
1995.3214978231415,2447928329.7459946,0.3171127447596703,2821561204025.61,0.03143610724222052,"Micronesia, Fed. Sts.",5
1998.0476931281635,2447929391.1459947,0.31711288225694223,2821563324753.431,0.03143613087007135,Tuvalu,5
2000.4894075981817,2448685249.6409945,0.31721079867021573,2823075411666.322,0.03145297761657657,Papua New Guinea,7
2013.066895503146,2448705120.6659946,0.31721337282861833,2823115413368.929,0.03145342329105325,Samoa,3
2013.7617716585933,2448734463.498995,0.31721717399640526,2823174502844.297,0.031454081629806244,Vanuatu,4
2018.9809391857061,2449077838.298995,0.317261655905449,2823867770020.4937,0.03146180558818338,Mongolia,2
2024.1219567009646,2449154196.898995,0.3172715476514359,2824022329139.3364,0.031463527591246175,Guyana,4
2034.2007912944816,2477502989.998995,0.32094394421686057,2881689466495.6,0.03210601952503692,Indonesia,2
2038.5548755390428,2480902607.548995,0.32138434193574544,2888619773427.1206,0.03218323276131546,Morocco,5
2040.9287033955025,2481141790.199995,0.3214153264486643,2889107928164.901,0.03218867148249782,Namibia,5
2047.8849636214884,2481393845.715995,0.32144797855515744,2889624108866.115,0.03219442245180396,"Gambia, The",10
2050.8976671071923,2481452892.096995,0.32145562761894725,2889745206951.159,0.03219577165251697,Solomon Islands,7
2056.651510076794,2482097551.696995,0.32153913895900876,2891071047090.985,0.032210543351518975,Bulgaria,1
2061.309412614593,2483180121.996995,0.32167937870175645,2893302559440.192,0.032235405495718406,Honduras,6
2062.422224405148,2495393980.796995,0.32326160242992297,2918492693275.058,0.03251605854253126,Ethiopia,10
2072.0527031548613,2495432115.456995,0.32326654252010295,2918571710300.395,0.03251693890184401,Belize,2
2073.4269691761765,2495443694.996995,0.32326804257207253,2918595719630.922,0.032517206399103396,Grenada,1
2075.1386423538365,2500941739.410995,0.32398027745809754,2930004924051.791,0.03264432076869819,Kenya,8
2075.439973990861,2500962436.410995,0.32398295861603776,2930047879432.9326,0.032644799351252515,SÃ£o TomÃ© and PrÃ­ncipe,9
2076.644699383861,2502249392.410995,0.32414967515940457,2932720429788.673,0.03267457527086518,Guinea,10
2080.361628198492,2502719123.452995,0.32421052567460035,2933697640224.0234,0.032685462751172206,"Congo, Rep.",7
2080.53997943421,2502797214.852995,0.32422064189323924,2933860112503.7734,0.03268727291782846,Bhutan,3
2081.772737171942,2503093644.852995,0.32425904241738324,2934477212396.2534,0.032694148266969036,Armenia,1
2109.3218129909874,2506114263.402995,0.3246503433503488,2940848668992.4937,0.03276513513500606,CÃ´te d'Ivoire,7
2109.4295828477348,2506297302.146995,0.32467405479557454,2941234776333.8945,0.03276943690658343,Equatorial Guinea,2
2109.9268238852865,2528948367.225995,0.32760834879905826,2989026866133.648,0.03330190710717003,Nigeria,6
2115.6731778239996,2530475504.0259953,0.32780617915887184,2992257788500.276,0.03333790406582671,Zimbabwe,9
2116.8801729916827,2673751315.4979944,0.3463666023875491,3295555513074.645,0.03671706159834387,India,7
2118.2552961613364,2673997093.7979946,0.346398441322688,3296076134260.302,0.03672286204080868,Moldova,2
